videoname,concept,pagerank,understand
Helping Seniors Cross the Digital Divide | Isabella Martinez | TEDxTemecula,원정 다득점,0.1434157485922356,0
Helping Seniors Cross the Digital Divide | Isabella Martinez | TEDxTemecula,인치,0.08475476346270451,0
Helping Seniors Cross the Digital Divide | Isabella Martinez | TEDxTemecula,1960년 하계 올림픽,0.08093049036947902,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,San Francisco,0.008822950138516392,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,California,0.006290596784580156,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Facebook,0.005384256119030694,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Operating system,0.004724711823438916,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Touchscreen,0.00439690376432184,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Computer,0.004321534887593353,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Wi-Fi,0.004180128017923832,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Skype,0.004141299594445252,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,WeChat,0.003985999096546155,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Twitter,0.00393684265810656,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Race and ethnicity in the United States census,0.00393669800425018,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Digital literacy,0.003926767592475235,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Internet,0.003830497017915355,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Microsoft,0.003771064711141749,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Disability,0.003586687679305486,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Smartphone,0.003506375637663906,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,IPhone,0.003421368551759128,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Assistive technology,0.003384484285511034,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Digital divide,0.003333353922144962,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Technology,0.003160887261836339,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Social media,0.00315236500093532,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Cantonese,0.003106141090550749,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Microsoft Word,0.0029721887531232,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Visual impairment,0.002936613970106554,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,California Department of Aging,0.002913046985563793,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,San Francisco,0.01074887313548413,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Digital divide,0.007739821906670202,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Lighthouse,0.007257845479726391,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Smartphone,0.006370888146808778,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,WeChat,0.006109414997422377,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,FaceTime,0.005737532199740476,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Disability,0.004297047069408817,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Educational technology,0.004022456962347703,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Telehealth,0.003952208517586188,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,China,0.003864762216556376,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Internet,0.003800413098856294,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Franciscans,0.003754134132046176,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Mobile app,0.003400903006278078,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,United States,0.003234843419518818,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Technology,0.003036945088928606,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Visual impairment,0.003014104054501339,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Health care,0.003001825116372371,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Computer,0.002994162880565148,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Information technology,0.002982754594020779,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,San Francisco Bay Area,0.002972933630618188,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Internet access,0.002874788425757445,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Communication,0.002860974083483101,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Digital literacy,0.002715448299728001,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Social isolation,0.00269557121285663,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Education,0.002617155792659102,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,San Francisco,0.01236189967390348,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,YouTube,0.0078742105126403,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Rock and roll,0.007019867009549532,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Wi-Fi,0.006918448233117888,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Comcast,0.006033508303752998,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Digital divide,0.005789112284028074,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Social media,0.00546076595117368,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Disability,0.004769682495226749,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Computer,0.004182589821097795,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Internet,0.003751900123229855,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Public transport,0.003677134013247539,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Bingo (American version),0.00355568061012527,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Passport,0.003539060483755375,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Chinese language,0.003475712521855607,0
